dia;mes;año;Fecha;Regíon;Volcan;Hora reporte;Hora evento;Tipo de evento;ML;DR [cm2];Prof (km);Tiempo en genarar el reporte;Comentarios;Nivel de alerta;REAV y enlace a documento;;;;;;;;;
6;2;2015;06-02-2015;Región de La Araucanía y Los Ríos;Villarrica;03:10;-;-;-;-;-;- ;Se registra un aumento paulatino del tremor volcánico, pasando de valores de DR promedio de 4cm*cm a 10cm*cm. Reaparece incandescencia nocturna en el cráter principal del volcán.;Verde;REAV Región de La Araucanía y Los Ríos, 06 febrero de 2015, 03:10 (Horario Local);;;;;;;;;
6;2;2015;06-02-2015;Región de La Araucanía y Los Ríos;Villarrica;21:00;-;-;-;-;-;- ;Continua el aumento del tremor volcánico, alcanzando valores de DR=24cm*cm, evidenciando una inestabilidad en la dinámica del sistema. Se cambia la alerta a AMARILLA.;Amarilla;REAV Región de La Araucanía y Los Ríos, 06 febrero de 2015, 21:00 (Horario Local);;;;;;;;;
10;2;2015;10-02-2015;Región del Biobío;Nevados de Chillán;01:30;00:55;VT;3,1;-;3;00:35;-;Verde;REAV Región del Biobío, 10 febrero de 2015, 01:30 (Horario Local);;;;;;;;;
21;2;2015;21-02-2015;Región del Biobío;Copahue;11:15;-;VT;2,7;-;6;- ;Se registra un enjambre sísmico de eventos VT, 132 eventos en 3 horas y 30 minutos.;Amarilla;REAV Región del Biobío, 21 febrero de 2015, 11:15 (Horario Local);;;;;;;;;
26;2;2015;26-02-2015;Región del Biobío;Nevados de Chillán;18:16;17:53;VT;3,2;-;3,3;00:23;-;Verde;REAV Región del Biobío, 26 febrero de 2015, 18:16 (Horario Local);;;;;;;;;
28;2;2015;28-02-2015;Región de La Araucanía y Los Ríos;Villarrica;22:50;-;-;-;-;-;- ;Se registra un aumento significativo del tremor volcánico, pasando de valores de DR promedio de 6cm*cm a 35cm*cm. Mayor actividad superficial representada por incandescencia nocturna permanente y sucesivas explosiones estrombolianas, alcanzando distancias de 1 km en torno del cráter.;Amarilla;REAV Región de La Araucanía y Los Ríos, 28 febrero de 2015, 22:50 (Horario Local);;;;;;;;;
2;3;2015;02-03-2015;Región de La Araucanía y Los Ríos;Villarrica;10:50;-;-;-;-;-;- ;Continua aumento paulatino del tremor volcánico, alcanzado valores de DR=80cm*cm. Se ha intensificado un proceso eruptivo tipo estromboliano debil, con emisión de gases y balísticos a altas temperaturas, alcanzando distancias entre 500-600 metros desde el centro del cráter. Se cambia la alerta a NARANJA.;Naranja;REAV Región de La Araucanía y Los Ríos, 02 marzo de 2015, 10:50 (Horario Local);;;;;;;;;
3;3;2015;03-03-2015;Región de La Araucanía y Los Ríos;Villarrica;03:30;-;-;-;-;-;- ;Desde las 02:30 HL se produjo un aumento considerable en los parámetros del tremor volcánico, alcanzando DR=400cm*cm. Se evidencia un pulso eruptivo de mayor energía y carácter continuo, caracterizado por la emisión de gran volumen de material desde el interior del volcán, con alturas cercanas a los 3km. Se cambia la alerta a ROJA.;Roja;REAV Región de La Araucanía y Los Ríos, 03 marzo de 2015, 03:30 (Horario Local);;;;;;;;;
6;3;2015;06-03-2015;Región de La Araucanía y Los Ríos;Villarrica;11:00;-;-;-;-;-;- ;La actividad volcánica ha disminuido notoriamente luego de la erupción del día 3 de marzo. Los bajos niveles de sismicidad indican ausencia del lago de lava. Se cambia la alerta a NARANJA.;Naranja;REAV Región de La Araucanía y Los Ríos, 06 marzo de 2015, 11:00 (Horario Local);;;;;;;;;
7;3;2015;07-03-2015;Región del Biobío;Copahue;15:15;14:37;VT;3,2;-;1,5;00:38;-;Amarilla;REAV Región del Biobío, 07 marzo de 2015, 15:15 (Horario Local);;;;;;;;;
